Thumbnail,Year Published,Min Players,Max Players,Play Time (Minutes),Category,Mechanics,Average Rating
https://cf.geekdo-images.com/thumb/img/HEKrtpTC1y1amXh5cKnVvowyE5Y=/fit-in/200x150/pic1534148.jpg,2008,2,4,45,['Medical'],"['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",7.61567
https://cf.geekdo-images.com/thumb/img/kqE4YJSm5PVkocYGl-V_IJcZQw4=/fit-in/200x150/pic2337577.jpg,2000,2,5,45,"['City Building', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Map Addition', 'Tile Placement']",7.41884
https://cf.geekdo-images.com/thumb/img/g8LvJsd2oLAub6AEKN_Xpdoi8Sw=/fit-in/200x150/pic2419375.jpg,1995,3,4,120,"['Economic', 'Negotiation']","['Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Race', 'Random Production', 'Trading', 'Variable Setup']",7.16265
https://cf.geekdo-images.com/thumb/img/Grz-qM9xwxlvQGK7B-MiljtO9pQ=/fit-in/200x150/pic860217.jpg,2010,2,7,30,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Player Powers']",7.76049
https://cf.geekdo-images.com/thumb/img/iPlTR5cXFGrDuhupUgWGPjFjDPo=/fit-in/200x150/pic394356.jpg,2008,2,4,30,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Take That', 'Variable Setup']",7.62671
https://cf.geekdo-images.com/thumb/img/WRanmC5bMp81aFJHqzOi7Kcj-5g=/fit-in/200x150/pic38668.jpg,2004,2,5,60,['Trains'],"['Card Drafting', 'Connections', 'End Game Bonuses', 'Hand Management', 'Map Reduction', 'Network and Route Building', 'Set Collection']",7.4299
https://cf.geekdo-images.com/thumb/img/jEZ06Ca_jj1919XUS4DgBaaxAN8=/fit-in/200x150/pic2582929.jpg,2015,2,8,15,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']",7.63806
https://cf.geekdo-images.com/thumb/img/3LEMSEjJJrLsTNnUOwpiHfb5DQw=/fit-in/200x150/pic831744.jpg,2007,1,5,150,"['Animals', 'Economic', 'Farming']","['Advantage Token', 'Automatic Resource Growth', 'Card Drafting', 'Enclosure', 'Hand Management', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']",7.95898
https://cf.geekdo-images.com/thumb/img/pYFq1WbW-LIQCvWCFxjQuDC-nho=/fit-in/200x150/pic158548.jpg,2002,3,5,150,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']",8.00613
https://cf.geekdo-images.com/thumb/img/w1PBg6RSkhkQVHgUMeVeDWIjbrs=/fit-in/200x150/pic428828.jpg,2009,2,5,80,"['Fantasy', 'Fighting', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Increase Value of Unchosen Resources', 'Variable Player Powers', 'Victory Points as a Resource']",7.27135
https://cf.geekdo-images.com/thumb/img/yFqQ569DfL8NSTGTUw0vF9SCR7k=/fit-in/200x150/pic3536616.jpg,2016,1,5,120,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",8.43086
https://cf.geekdo-images.com/thumb/img/iEQpTdf7xHrGznRhdNBMiKy_mIM=/fit-in/200x150/pic3043734.jpg,2011,2,6,30,"['Dice', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'King of the Hill', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking']",7.19515
https://cf.geekdo-images.com/thumb/img/eXshcW5A7ryFnyb3VwlSc8IxIgc=/fit-in/200x150/pic66668.jpg,2005,2,5,60,['Trains'],"['Card Drafting', 'Connections', 'Hand Management', 'Network and Route Building', 'Push Your Luck', 'Set Collection']",7.55095
https://cf.geekdo-images.com/thumb/img/x-l6MKgcj-wBZfgX1ttvO5MRcJ4=/fit-in/200x150/pic1904079.jpg,2014,2,4,30,"['Card Game', 'Economic', 'Renaissance']","['Card Drafting', 'Contracts', 'Set Collection']",7.45483
https://cf.geekdo-images.com/thumb/img/6V9SeUytdXtA4ewaNDnbWJqPmwU=/fit-in/200x150/pic4459753.jpg,2004,2,6,120,"['Economic', 'Industry / Manufacturing']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Catch the Leader', 'Income', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']",7.86689
https://cf.geekdo-images.com/thumb/img/cwWMq5feF7O4O82HJOK3WE5IZ6o=/fit-in/200x150/pic3376065.jpg,2015,2,2,30,"['Ancient', 'Card Game', 'City Building', 'Civilization']","['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']",8.10311
https://cf.geekdo-images.com/thumb/img/5UWTReXVz1-gn2t0eiFzeosvfWs=/fit-in/200x150/pic1401448.jpg,2012,2,4,20,"['Card Game', 'Deduction', 'Renaissance']","['Hand Management', 'Player Elimination']",7.23403
https://cf.geekdo-images.com/thumb/img/ZpuWhZuKrFry__SY8CTRuQp35rk=/fit-in/200x150/pic3163924.jpg,2016,1,5,115,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Area Majority / Influence', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Moving Multiple Units', 'Narrative Choice / Paragraph', 'Race', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",8.24896
https://cf.geekdo-images.com/thumb/img/-pTlIzjMjawpDvdG3TBwsUrHrk4=/fit-in/200x150/pic3483909.jpg,2008,3,6,30,"['Card Game', 'Humor', 'Party Game']","['Communication Limits', 'Simultaneous Action Selection', 'Storytelling', 'Targeted Clues', 'Voting']",7.26705
https://cf.geekdo-images.com/thumb/img/8WHy1HRwSF8DAf7Dg-wdGIHFXKE=/fit-in/200x150/pic3239104.jpg,2000,2,8,60,"['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Medieval']","['Action Drafting', 'Card Drafting', 'Lose a Turn', 'Set Collection', 'Turn Order: Role Order', 'Variable Player Powers']",7.08726
https://cf.geekdo-images.com/thumb/img/_ed_JktpgFwTr2WjEQgYMzHBvOQ=/fit-in/200x150/pic3718275.jpg,2017,2,4,45,"['Abstract Strategy', 'Renaissance']","['Drafting', 'End Game Bonuses', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Claim Action']",7.84608
https://cf.geekdo-images.com/thumb/img/E1ieMvdZ8M80lleFApNkqKi3kK0=/fit-in/200x150/pic5261714.jpg,2007,2,4,60,"['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']","['Follow', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Turn Order: Role Order', 'Variable Phase Order', 'Variable Player Powers']",7.7605
https://cf.geekdo-images.com/thumb/img/26Ef_y4lLwV5qhRgZUAEpkno55g=/fit-in/200x150/pic1116080.jpg,2012,2,5,120,"['City Building', 'Fantasy']","['Card Drafting', 'Contracts', 'Hidden Roles', 'Increase Value of Unchosen Resources', 'Ownership', 'Set Collection', 'Take That', 'Turn Order: Claim Action', 'Worker Placement']",7.75613
https://cf.geekdo-images.com/thumb/img/WQrgUYzyNADux66REz6_rfF26HU=/fit-in/200x150/pic1176894.jpg,2011,2,4,90,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'Grid Coverage', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']",8.13125
https://cf.geekdo-images.com/thumb/img/59G6_Csm5HEfb3xik6W-_6sihuQ=/fit-in/200x150/pic1632539.jpg,2008,2,4,90,"['Dice', 'Economic', 'Prehistoric']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']",7.57541
